Time,sum(Coindays destroyed – Blocks) – Bitcoin
23.09.2009,0
24.09.2009,0
25.09.2009,3807.45891203705
26.09.2009,0
27.09.2009,1369.802662037
28.09.2009,0
29.09.2009,6755.836226851800
30.09.2009,0
01.10.2009,0
02.10.2009,2080.3078703704
03.10.2009,0
04.10.2009,0
05.10.2009,0
06.10.2009,3113.4311342593
07.10.2009,0
08.10.2009,0
09.10.2009,0
10.10.2009,0
11.10.2009,0
12.10.2009,326966.69097222
13.10.2009,0
14.10.2009,0
15.10.2009,0
16.10.2009,56682.976851852
17.10.2009,0
18.10.2009,963.27083333333
19.10.2009,0
20.10.2009,66485.679607407
21.10.2009,10059.753758333
22.10.2009,70929.990740741
23.10.2009,0
24.10.2009,27049.106481481
25.10.2009,0
26.10.2009,0
27.10.2009,34618.594328704
28.10.2009,0
29.10.2009,10881.2413194445
30.10.2009,0
31.10.2009,0
01.11.2009,0
02.11.2009,0
03.11.2009,0
04.11.2009,125227.68402778
05.11.2009,0
06.11.2009,0
07.11.2009,0
08.11.2009,0
09.11.2009,0
10.11.2009,0
11.11.2009,108106.5318286990
12.11.2009,0
13.11.2009,1707.91550925925
14.11.2009,0
15.11.2009,0
16.11.2009,0
17.11.2009,0
18.11.2009,0
19.11.2009,178460.80208333600
20.11.2009,0
21.11.2009,0
22.11.2009,0
23.11.2009,0
24.11.2009,0
25.11.2009,0
26.11.2009,0
27.11.2009,0
28.11.2009,0
29.11.2009,0
30.11.2009,0
01.12.2009,1114377.509838
02.12.2009,0
03.12.2009,0
04.12.2009,0
05.12.2009,9204.3940972222
06.12.2009,230.93344907407000
07.12.2009,0
08.12.2009,2965.6510416667
09.12.2009,2883.372916666660
10.12.2009,0
11.12.2009,0
12.12.2009,14103.0214120371
13.12.2009,0
14.12.2009,206251.24205150400
15.12.2009,17219.412175926300
16.12.2009,2091.1232638889
17.12.2009,41768.49512673640
18.12.2009,0
19.12.2009,163.92418981481
20.12.2009,0
21.12.2009,154.00983796296
22.12.2009,0
23.12.2009,0
24.12.2009,0
25.12.2009,3712.6990740741
26.12.2009,0
27.12.2009,1349.0862268519
28.12.2009,0
29.12.2009,0
30.12.2009,0
31.12.2009,0
01.01.2010,155.747106481481
02.01.2010,0
03.01.2010,0
04.01.2010,434320.66880382000
05.01.2010,0
06.01.2010,0
07.01.2010,0
08.01.2010,0
09.01.2010,0
10.01.2010,0
11.01.2010,0
12.01.2010,483419.46990741
13.01.2010,2053.06215277777
14.01.2010,5813.1261574074
15.01.2010,766.81966435185
16.01.2010,1253.5112384259
17.01.2010,0
18.01.2010,231.97048611111
19.01.2010,0
20.01.2010,0
21.01.2010,150.04398148148600
22.01.2010,237.920138888888
23.01.2010,51.721655092593
24.01.2010,58.511574074074
25.01.2010,9122.611689814880
26.01.2010,895.6262615740780
27.01.2010,1038.9276620370400
28.01.2010,1112.667245370340
29.01.2010,1333.953125
30.01.2010,16530.325810185400
31.01.2010,1083.2905092592300
01.02.2010,1319.7673611111000
02.02.2010,1802.958912037
03.02.2010,562.73263888889
04.02.2010,3936.9878472222400
05.02.2010,193470.57928241
06.02.2010,6423.974537037060
07.02.2010,1025.2363773148200
08.02.2010,193554.56960647900
09.02.2010,1275604.835648160
10.02.2010,853241.5653935190
11.02.2010,14534.31539351830
12.02.2010,13875.895833333400
13.02.2010,36281.832222221800
14.02.2010,7313.037660069480
15.02.2010,23303.324516666500
16.02.2010,2245.379455324060
17.02.2010,175653.91939941900
18.02.2010,9795.96932870355
19.02.2010,198.59895833333
20.02.2010,1257.6631944444800
21.02.2010,24358.11585960610
22.02.2010,196287.851851851
23.02.2010,42.47974537037
24.02.2010,121526.55324074100
25.02.2010,48385.37731481500
26.02.2010,48109.7204861113
27.02.2010,2022.940439814840
28.02.2010,80893.94791666690
01.03.2010,5835.68402777776
02.03.2010,5684.484953703700
03.03.2010,44678.5155324082
04.03.2010,1094322.4184027400
05.03.2010,2120.8576388889
06.03.2010,73700.19653946710
07.03.2010,32086.685763889300
08.03.2010,385236.88787546000
09.03.2010,32117.219907407100
10.03.2010,19133.34432870420
11.03.2010,63136.37847222230
12.03.2010,1697.53298611107
13.03.2010,30081.052083333
14.03.2010,3861.89930555559
15.03.2010,887.4971064814800
16.03.2010,98508.71681712960
17.03.2010,74022.28530092550
18.03.2010,39569.57465277810
19.03.2010,61174.296689814700
20.03.2010,59106.648726852000
21.03.2010,759.6991087963010
22.03.2010,9635.159143518530
23.03.2010,135867.12130775800
24.03.2010,9598.812499999970
25.03.2010,208707.23611111500
26.03.2010,14971.415509259300
27.03.2010,18614.296874999900
28.03.2010,62747.54166666650
29.03.2010,15360.156250000000
30.03.2010,3725.861111111070
31.03.2010,7051.887707175870
01.04.2010,3961.519675925880
02.04.2010,2501.402199074030
03.04.2010,6849.543489351890
04.04.2010,41755.752893518000
05.04.2010,206847.81261851700
06.04.2010,209240.2375810220
07.04.2010,285744.1886831000
08.04.2010,36695.65132870410
09.04.2010,198211.98014977200
10.04.2010,761683.506610649
11.04.2010,266820.2690931700
12.04.2010,154632.02831308400
13.04.2010,3188.8046875000400
14.04.2010,29259.011691897800
15.04.2010,8985277.20890544
16.04.2010,459773.1285946730
17.04.2010,13802.081344560200
18.04.2010,60267.2536916665
19.04.2010,169603.4653614550
20.04.2010,340955.53630278000
21.04.2010,72489.18918749980
22.04.2010,117226.52565023100
23.04.2010,4027.4934994212900
24.04.2010,118062.40402835600
25.04.2010,322223.4058669040
26.04.2010,206230.32303402600
27.04.2010,15763.006400463000
28.04.2010,57967.95752118060
29.04.2010,6702.4462842592900
30.04.2010,1294178.1645417000
01.05.2010,11643.737208333300
02.05.2010,5784.454050925940
03.05.2010,45576.2285879631
04.05.2010,193441.63298194400
05.05.2010,282826.2663219940
06.05.2010,390823.54516203900
07.05.2010,303008.3357746510
08.05.2010,282790.37112638400
09.05.2010,113330.31261678200
10.05.2010,99925.7833796295
11.05.2010,5300.803549884270
12.05.2010,305774.4334776640
13.05.2010,94764.21844398130
14.05.2010,172594.24690671200
15.05.2010,22103.65464849550
16.05.2010,8999.660356944430
17.05.2010,298230.09761852300
18.05.2010,44872.68981481460
19.05.2010,134804.26228993000
20.05.2010,6547.01756944441
21.05.2010,377977.50343749700
22.05.2010,428481.78959919500
23.05.2010,32600.559231481500
24.05.2010,13452.024120370400
25.05.2010,13457.453124999900
26.05.2010,206510.83832870000
27.05.2010,117743.68812731400
28.05.2010,2982443.4459946600
29.05.2010,227118.46925810500
30.05.2010,39635.864364583400
31.05.2010,33100.70729166670
01.06.2010,145913.63912257100
02.06.2010,89330.32936643580
03.06.2010,83620.34653981480
04.06.2010,756183.9991221060
05.06.2010,14848.21267592590
06.06.2010,26085.1821652774
07.06.2010,703517.3999900450
08.06.2010,122460.98726851800
09.06.2010,1329416.3301596000
10.06.2010,386400.3820915520
11.06.2010,181617.77356886700
12.06.2010,34620.023757407400
13.06.2010,57702.11079861120
14.06.2010,680241.5706381900
15.06.2010,127679.57186342700
16.06.2010,257719.80997986600
17.06.2010,674519.3238060180
18.06.2010,79737.39740740740
19.06.2010,1503555.1131114600
20.06.2010,129928.24748842600
21.06.2010,8640.692511805620
22.06.2010,71583.04543287000
23.06.2010,269582.45445601700
24.06.2010,494891.2235591450
25.06.2010,324912.9205092600
26.06.2010,284063.35327059700
27.06.2010,9212.585162037080
28.06.2010,84565.73189004660
29.06.2010,600124.9840994230
30.06.2010,1319877.6356385400
01.07.2010,73536.89450266160
02.07.2010,666597.9585640090
03.07.2010,114405.51400463000
04.07.2010,378094.6560763940
05.07.2010,402414.9618340340
06.07.2010,51171.929027777400
07.07.2010,643299.6548737230
08.07.2010,210956.75383541800
09.07.2010,11005.109606481500
10.07.2010,144763.33123634200
11.07.2010,263465.8618402780
12.07.2010,2593215.44445702
13.07.2010,258248.37476006700
14.07.2010,340203.28118009200
15.07.2010,3150911.5174752200
16.07.2010,287403.18158506800
17.07.2010,574295.1920807850
18.07.2010,1692651.48380381
19.07.2010,445758.3527471040
20.07.2010,90087.39985300950
21.07.2010,896491.6827449130
22.07.2010,269845.15166596700
23.07.2010,347466.97413356800
24.07.2010,2595701.908560860
25.07.2010,664313.1796263900
26.07.2010,5092565.165433060
27.07.2010,1548487.2235421400
28.07.2010,280256.7464565960
29.07.2010,67860.30417743020
30.07.2010,118911.5726826400
31.07.2010,495324.7531327510
01.08.2010,736122.0406645870
02.08.2010,102894.31500231500
03.08.2010,366269.3679283540
04.08.2010,825726.6623423570
05.08.2010,144460.8953524310
06.08.2010,289650.78544085900
07.08.2010,1028470.4839812500
08.08.2010,511856.87666493000
09.08.2010,669917.5969958330
10.08.2010,500389.8238159720
11.08.2010,308318.63530509300
12.08.2010,62706.843064698900
13.08.2010,405904.0936244170
14.08.2010,45232.35952986130
15.08.2010,154028.76869432700
16.08.2010,452681.97761689500
17.08.2010,164118.2606561350
18.08.2010,515562.49796412100
19.08.2010,101475.64458078700
20.08.2010,113823.05527129600
21.08.2010,484113.6336902840
22.08.2010,511875.38375370200
23.08.2010,49971.75789849510
24.08.2010,136880.46646134300
25.08.2010,48761.10538761620
26.08.2010,50685.03942222240
27.08.2010,472781.2999177050
28.08.2010,65600.20057499540
29.08.2010,87769.27289988460
30.08.2010,94973.01727070580
31.08.2010,1024273.2894912600
01.09.2010,298812.6023218330
02.09.2010,138329.75551052200
03.09.2010,434381.329450813
04.09.2010,113186.35227175900
05.09.2010,2230063.1173970900
06.09.2010,378160.15728495600
07.09.2010,326134.05173981400
08.09.2010,98144.00978785630
09.09.2010,961821.7411545710
10.09.2010,42568.11680891200
11.09.2010,95703.85600185140
12.09.2010,369779.1486253250
13.09.2010,527927.3564206170
14.09.2010,185875.91740011700
15.09.2010,805093.7078019500
16.09.2010,892135.8093680520
17.09.2010,10098342.29593340
18.09.2010,319781.24994560100
19.09.2010,245147.85280409000
20.09.2010,368814.34262326000
21.09.2010,130890.83535703800
22.09.2010,328745.6848256900
23.09.2010,932509.0225913220
24.09.2010,95541.6583928245
25.09.2010,376116.8670572920
26.09.2010,145301.39685243200
27.09.2010,3199134.589619650
28.09.2010,19178848.94436030
29.09.2010,839659.5788605370
30.09.2010,433192.5119745400
01.10.2010,7810460.102990600
02.10.2010,11235797.86071450
03.10.2010,341110.8140466240
04.10.2010,1593250.556435480
05.10.2010,6536395.883923450
06.10.2010,421018.80693574300
07.10.2010,767865.4796275480
08.10.2010,1945053.1605916500
09.10.2010,1423876.0626523200
10.10.2010,1177105.7177158500
11.10.2010,532571.4146076040
12.10.2010,388113.40269108800
13.10.2010,3916461.354714120
14.10.2010,893095.6113946850
15.10.2010,1824631.8925268500
16.10.2010,4052665.6474902500
17.10.2010,245970.92446018500
18.10.2010,175584.87838043900
19.10.2010,304161.230768285
20.10.2010,375182.3380619180
21.10.2010,1373727.4661595800
22.10.2010,273577.6071572910
23.10.2010,667184.0393456020
24.10.2010,1275248.8956785800
25.10.2010,663588.104331251
26.10.2010,513359.5210104130
27.10.2010,1140302.7841273200
28.10.2010,2976507.044513780
29.10.2010,482113.77064977400
30.10.2010,577248.6274222240
31.10.2010,546546.9837127320
01.11.2010,539066.2895968770
02.11.2010,779808.8338817110
03.11.2010,313366.2972336840
04.11.2010,2216587.175454900
05.11.2010,1344364.1743334400
06.11.2010,6681095.143340540
07.11.2010,394071.67378460800
08.11.2010,6361166.790656540
09.11.2010,795187.1838290460
10.11.2010,155180.4297961810
11.11.2010,137239.919428125
12.11.2010,83600.20000196770
13.11.2010,602955.5026990740
14.11.2010,1053461.7449975700
15.11.2010,9173760.816222800
16.11.2010,502183.67583218000
17.11.2010,209689.35119120400
18.11.2010,248346.14877332500
19.11.2010,1005425.9956671300
20.11.2010,720493.2832802050
21.11.2010,219222.52443009100
22.11.2010,206784.46855544000
23.11.2010,792463.4328611140
